class_alegria,class_desgosto,class_medo,class_raiva,class_surpresa,class_tristeza,class_neutro,texto
0,1,1,0,0,0,0,"Dupla assalta posto de combustíveis no Centro de Pitangui e foge em moto. Suspeitos ameaçaram frentista com uma arma e levaram dinheiro do caixa. Polícia informou que fez rondas, mas ninguém foi preso até o momento."
1,0,1,0,0,1,1,"Farc asseguram respeito ao cessar-fogo. As Forças Armadas Revolucionárias da Colômbia (Farc) asseguraram neste domingo seu respeito ao cessar-fogo anunciado pelo comando rebelde há seis dias, mas reforçaram seu direito de se defender caso seja necessário."
0,1,0,0,1,1,0,"Tigre branco mata tratador na frente de visitantes em zoo da Nova Zelândia: Ataque ocorreu quando dois tratadores limpavam a jaula do animal. Santuário de felinos foi fechado, e o tigre foi sacrificado."
0,0,0,0,0,1,1,"PSOL entra no STF com pedido de explicações contra Paulo Duque: Presidente do Conselho de Ética afirmou que partido 'não existe'. Após interpelação, PSOL pode tomar outras medidas contra peemedebista."
0,1,0,0,1,0,0,"Chinês fica 'preso' na Coreia do Sul após filho rabiscar seu passaporte. Menino de 4 anos fez desenhos em todo o documento. Homem foi impedido de viajar pelas autoridades no aeroporto."
0,0,0,0,1,0,1,"Violino do Titanic é encontrado, 101 anos após o naufrágio. O violino do chefe de orquestra do Titanic foi encontrado em um sótão na Inglaterra e autentificado 101 anos após o naufrágio do navio, indicou uma casa de leilões britânica."
1,0,0,0,0,0,1,"Ministro do Desenvolvimento conclui missão comercial à África: Miguel Jorge passou por Gana, Senegal e Nigéria. Objetivo é explorar regiões onde país tem pouca troca comercial."
0,1,0,0,1,1,0,"Bebê de 5 meses morre em Porto Rico após ser colocado no congelador. Padrasto da criança a teria colocado no local gelado após discutir com a esposa."
1,0,0,0,0,0,1,"Goleiro Weverton elogia defesa atleticana após vitória no Peru. Setor era foco de preocupação por causa da lesão de Manoel durante a semana e o retorno de Cleberson após período de afastamento"
0,1,0,0,0,1,1,"TSE julga nesta quinta processo de cassação do governador de SC: Luiz Henrique é acusado por propaganda irregular na campanha de 2006. Ao G1, em 2007, a assessoria do governador negou irregularidades."
0,0,1,0,0,1,0,"Adolescente de 15 anos que estava sumida é achada morta em Manaus: Segundo a polícia, vítima saiu de casa para ir à escola e não voltou. Menina foi encontrada degolada e com sinais de violência sexual."
